Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Elmhurst/Corona,2008,3.72418,404
Flatbush/Midwood,2008,6.20362,314
Flushing,2008,3.4055,407
Fort Greene/Brooklyn Hts,2008,4.96862,302
Fresh Meadows/Briarwood,2008,7.31159,408
Greenwich Village,2008,4.42641,102
Howard Beach,2008,5.33689,410
Hunts Point,2008,5.36673,202
Jackson Heights,2008,4.86674,403
Jamaica/St. Albans,2008,7.97156,412
Lower East Side,2008,3.70899,103
Midtown Business District,2008,4.4843,105
Morrisania,2008,8.19277,203
Mott Haven,2008,10.11476,201
Murray Hill/Stuyvesant,2008,3.0785,106
Park Slope,2008,5.88952,306
Pelham Parkway,2008,4.2204,211
Queens Village,2008,6.87605,413
Rego Park/Forest Hills,2008,2.87807,406
Ridgewood/Glendale,2008,3.22036,405
Riverdale,2008,4.21822,208
Sheepshead Bay,2008,5,315
South Beach,2008,2.5097,502
St. George,2008,4.78345,501
Sunnyside/Woodside,2008,3.31932,402
Sunset Park,2008,2.35796,307
The Rockaways,2008,6.67461,414
Throgs Neck,2008,4.59468,210
Tottenville,2008,2.31036,503
Unionport/Soundview,2008,5.56586,209
University Heights,2008,5.37634,205
Upper East Side,2008,2.26487,108
Upper West Side,2008,3.15679,107
Washington Heights,2008,3.43114,112
Williamsbridge,2008,8.93873,212
Williamsburg/Greenpoint,2008,3.8669,301
Woodhaven,2008,5.25711,409
Astoria,2009,4.5,401
Battery Park/Tribeca,2009,2.2,101
Bay Ridge,2009,3.8,310
Bayside,2009,3.8,411
Bedford Park,2009,6.7,207
Bedford Stuyvesant,2009,8.7,303
Bensonhurst,2009,3.2,311
Borough Park,2009,3.6,312
Brownsville,2009,11.3,316
Bushwick,2009,5.8,304
Canarsie,2009,6.3,318
Central Harlem,2009,7.9,110
Chelsea/Clinton,2009,2.9,104
Concourse/Highbridge,2009,6.2,204
Coney Island,2009,5,313
Crown Heights North,2009,4.9,308
Crown Heights South,2009,5.5,309
East Flatbush,2009,6.2,317
East Harlem,2009,7.6,111
East New York,2009,9.5,305
East Tremont,2009,6.5,206
Elmhurst/Corona,2009,3.2,404
Flatbush/Midwood,2009,4.9,314
Flushing,2009,2.9,407
Fort Greene/Brooklyn Hts,2009,3.5,302
Fresh Meadows/Briarwood,2009,7.4,408
Greenwich Village,2009,4.1,102
Howard Beach,2009,5.2,410
Hunts Point,2009,5.5,202
Jackson Heights,2009,3.6,403
