Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
Jackson Heights,2006,862,403
Jackson Heights,2005,718,403
Jackson Heights,2004,674,403
Jackson Heights,2003,699,403
Jackson Heights,2002,764,403
Elmhurst/Corona,2002,654,404
Elmhurst/Corona,2003,585,404
Elmhurst/Corona,2004,554,404
Elmhurst/Corona,2005,586,404
Elmhurst/Corona,2006,780,404
Elmhurst/Corona,2007,745,404
Elmhurst/Corona,2008,819,404
Elmhurst/Corona,2009,820,404
Elmhurst/Corona,2013,668,404
Elmhurst/Corona,2014,766,404
Elmhurst/Corona,2015,781,404
Elmhurst/Corona,2016,752,404
Elmhurst/Corona,2011,850,404
Elmhurst/Corona,2012,752,404
Elmhurst/Corona,2010,800,404
Elmhurst/Corona,2018,842,404
Elmhurst/Corona,2017,783,404
Elmhurst/Corona,2019,874,404
Ridgewood/Glendale,2019,591,405
Ridgewood/Glendale,2017,655,405
Ridgewood/Glendale,2018,685,405
Ridgewood/Glendale,2010,795,405
Ridgewood/Glendale,2012,751,405
Ridgewood/Glendale,2011,777,405
Ridgewood/Glendale,2016,609,405
Ridgewood/Glendale,2015,578,405
Ridgewood/Glendale,2014,653,405
Ridgewood/Glendale,2013,689,405
Ridgewood/Glendale,2009,658,405
Ridgewood/Glendale,2008,811,405
Ridgewood/Glendale,2007,755,405
Ridgewood/Glendale,2006,792,405
Ridgewood/Glendale,2005,646,405
Ridgewood/Glendale,2004,648,405
Ridgewood/Glendale,2003,650,405
Ridgewood/Glendale,2002,748,405
Rego Park/Forest Hills,2002,195,406
Rego Park/Forest Hills,2003,184,406
Rego Park/Forest Hills,2004,160,406
Rego Park/Forest Hills,2005,180,406
Rego Park/Forest Hills,2006,199,406
Rego Park/Forest Hills,2007,197,406
Rego Park/Forest Hills,2008,190,406
Rego Park/Forest Hills,2009,198,406
Rego Park/Forest Hills,2013,190,406
Rego Park/Forest Hills,2014,203,406
Rego Park/Forest Hills,2015,176,406
Rego Park/Forest Hills,2016,215,406
Rego Park/Forest Hills,2011,227,406
Rego Park/Forest Hills,2012,178,406
Rego Park/Forest Hills,2010,189,406
Rego Park/Forest Hills,2018,227,406
Rego Park/Forest Hills,2017,250,406
Rego Park/Forest Hills,2019,228,406
Flushing,2019,711,407
Flushing,2017,677,407
Flushing,2018,680,407
Flushing,2010,597,407
Flushing,2012,657,407
Flushing,2011,614,407
Flushing,2016,589,407
Flushing,2015,594,407
Flushing,2014,551,407
Flushing,2013,516,407
Flushing,2009,627,407
Flushing,2008,553,407
Flushing,2007,676,407
Flushing,2006,700,407
Flushing,2005,519,407
Flushing,2004,499,407
Flushing,2003,569,407
Flushing,2002,664,407
Fresh Meadows/Briarwood,2002,517,408
Fresh Meadows/Briarwood,2003,432,408
Fresh Meadows/Briarwood,2004,467,408
Fresh Meadows/Briarwood,2005,471,408
Fresh Meadows/Briarwood,2006,575,408
Fresh Meadows/Briarwood,2007,532,408
Fresh Meadows/Briarwood,2008,510,408
Fresh Meadows/Briarwood,2009,474,408
Fresh Meadows/Briarwood,2013,474,408
Fresh Meadows/Briarwood,2014,454,408
Fresh Meadows/Briarwood,2015,507,408
Fresh Meadows/Briarwood,2016,555,408
Fresh Meadows/Briarwood,2011,513,408
Fresh Meadows/Briarwood,2012,552,408
Fresh Meadows/Briarwood,2010,527,408
Fresh Meadows/Briarwood,2018,616,408
Fresh Meadows/Briarwood,2017,546,408
Fresh Meadows/Briarwood,2019,623,408
Woodhaven,2019,730,409
Woodhaven,2017,840,409
Woodhaven,2018,827,409
Woodhaven,2010,899,409
Woodhaven,2012,802,409
Woodhaven,2011,775,409
Woodhaven,2016,767,409
Woodhaven,2015,757,409
Woodhaven,2014,691,409
Woodhaven,2013,794,409
Woodhaven,2009,731,409
Woodhaven,2008,992,409
Woodhaven,2007,769,409
Woodhaven,2006,846,409
Woodhaven,2005,716,409
Woodhaven,2004,710,409
Woodhaven,2003,759,409
Woodhaven,2002,895,409
Howard Beach,2002,693,410
Howard Beach,2003,591,410
Howard Beach,2004,600,410
Howard Beach,2005,612,410
Howard Beach,2006,635,410
Howard Beach,2007,663,410
Howard Beach,2008,744,410
Howard Beach,2009,626,410
Howard Beach,2013,622,410
Howard Beach,2014,557,410
Howard Beach,2015,584,410
Howard Beach,2016,531,410
Howard Beach,2011,683,410
Howard Beach,2012,659,410
Howard Beach,2010,728,410
Howard Beach,2018,667,410
Howard Beach,2017,690,410
Howard Beach,2019,641,410
Bayside,2019,258,411
Bayside,2017,191,411
Bayside,2018,219,411
Bayside,2010,230,411
Bayside,2012,194,411
Bayside,2011,179,411
Bayside,2016,194,411
Bayside,2015,186,411
Bayside,2014,185,411
Bayside,2013,193,411
Bayside,2009,220,411
Bayside,2008,194,411
Bayside,2007,230,411
Bayside,2006,214,411
Bayside,2005,210,411
Bayside,2004,197,411
Bayside,2003,211,411
Bayside,2002,203,411
Jamaica/St. Albans,2002,2233,412
Jamaica/St. Albans,2003,1864,412
Jamaica/St. Albans,2004,1783,412
Jamaica/St. Albans,2005,1667,412
Jamaica/St. Albans,2006,2072,412
Jamaica/St. Albans,2007,1848,412
Jamaica/St. Albans,2008,2245,412
Jamaica/St. Albans,2009,1815,412
Jamaica/St. Albans,2013,2013,412
Jamaica/St. Albans,2014,1963,412
Jamaica/St. Albans,2015,1868,412
Jamaica/St. Albans,2016,1912,412
Jamaica/St. Albans,2011,2206,412
Jamaica/St. Albans,2012,1983,412
Jamaica/St. Albans,2010,2155,412
Jamaica/St. Albans,2018,2055,412
Jamaica/St. Albans,2017,2214,412
Jamaica/St. Albans,2019,1991,412
Queens Village,2019,1029,413
Queens Village,2017,1045,413
Queens Village,2018,981,413
Queens Village,2010,1165,413
Queens Village,2012,933,413
Queens Village,2011,1058,413
Queens Village,2016,971,413
Queens Village,2015,987,413
Queens Village,2014,933,413
Queens Village,2013,1042,413
Queens Village,2009,962,413
Queens Village,2008,1132,413
Queens Village,2007,1097,413
Queens Village,2006,1012,413
Queens Village,2005,872,413
Queens Village,2004,872,413
Queens Village,2003,840,413
Queens Village,2002,1025,413
The Rockaways,2002,1312,414
The Rockaways,2003,1037,414
The Rockaways,2004,1010,414
The Rockaways,2005,938,414
The Rockaways,2006,1153,414
The Rockaways,2007,1143,414
The Rockaways,2008,1412,414
The Rockaways,2009,1124,414
The Rockaways,2013,1064,414
The Rockaways,2014,1060,414
The Rockaways,2015,1106,414
The Rockaways,2016,1152,414
The Rockaways,2011,1332,414
The Rockaways,2012,1045,414
The Rockaways,2010,1320,414
The Rockaways,2018,1261,414
The Rockaways,2017,1281,414
The Rockaways,2019,1200,414
Staten Island,2018,3092,36085
Staten Island,2019,2926,36085
Staten Island,2010,2913,36085
Staten Island,2011,2861,36085
Staten Island,2012,2597,36085
Staten Island,2013,2605,36085
Staten Island,2014,2606,36085
Staten Island,2015,2714,36085
Staten Island,2016,2875,36085
Staten Island,2017,3173,36085
Staten Island,2002,2407,36085
Staten Island,2003,2426,36085
Staten Island,2004,2401,36085
Staten Island,2005,2227,36085
Staten Island,2006,3094,36085
Staten Island,2007,2847,36085
Staten Island,2008,3138,36085
Staten Island,2009,2321,36085
St. George,2010,1818,501
St. George,2012,1592,501
St. George,2011,1792,501
St. George,2016,1803,501
St. George,2015,1693,501
St. George,2014,1635,501
St. George,2013,1603,501
St. George,2009,1327,501
St. George,2008,1913,501
St. George,2007,1742,501
St. George,2006,1851,501
St. George,2005,1274,501
St. George,2004,1398,501
St. George,2003,1466,501
St. George,2002,1460,501
St. George,2017,1969,501
St. George,2018,1967,501
St. George,2019,1831,501
South Beach,2019,580,502
South Beach,2018,612,502
South Beach,2017,611,502
South Beach,2002,495,502
South Beach,2003,464,502
South Beach,2004,486,502
South Beach,2005,453,502
South Beach,2006,618,502
South Beach,2007,572,502
South Beach,2008,597,502
South Beach,2009,490,502
South Beach,2013,506,502
South Beach,2014,481,502
South Beach,2015,514,502
South Beach,2016,565,502
South Beach,2011,529,502
South Beach,2012,450,502
South Beach,2010,524,502
Tottenville,2010,481,503
Tottenville,2012,461,503
Tottenville,2011,479,503
Tottenville,2016,507,503
Tottenville,2015,507,503
Tottenville,2014,490,503
Tottenville,2013,496,503
Tottenville,2009,442,503
Tottenville,2008,517,503
Tottenville,2007,495,503
Tottenville,2006,540,503
Tottenville,2005,409,503
Tottenville,2004,478,503
Tottenville,2003,383,503
Tottenville,2002,408,503
Tottenville,2017,593,503
Tottenville,2018,513,503
Tottenville,2019,515,503
