Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
East Harlem,2007,1681,111
East Harlem,2006,1832,111
East Harlem,2005,1460,111
East Harlem,2004,1412,111
East Harlem,2003,1541,111
East Harlem,2002,1807,111
East Harlem,2017,1452,111
East Harlem,2019,1556,111
East Harlem,2018,1432,111
Washington Heights,2018,907,112
Washington Heights,2019,818,112
Washington Heights,2017,876,112
Washington Heights,2002,1359,112
Washington Heights,2003,1186,112
Washington Heights,2004,1119,112
Washington Heights,2005,1052,112
Washington Heights,2006,1358,112
Washington Heights,2007,1212,112
Washington Heights,2008,1092,112
Washington Heights,2009,903,112
Washington Heights,2013,975,112
Washington Heights,2014,821,112
Washington Heights,2015,872,112
Washington Heights,2016,922,112
Washington Heights,2011,1018,112
Washington Heights,2012,975,112
Washington Heights,2010,1084,112
Bronx,2009,20165,36005
Bronx,2008,16601,36005
Bronx,2007,16652,36005
Bronx,2006,18295,36005
Bronx,2005,13546,36005
Bronx,2004,13822,36005
Bronx,2003,14619,36005
Bronx,2002,14362,36005
Bronx,2017,17291,36005
Bronx,2016,16805,36005
Bronx,2015,15928,36005
Bronx,2014,16074,36005
Bronx,2013,15341,36005
Bronx,2012,16429,36005
Bronx,2011,16972,36005
Bronx,2010,17110,36005
Bronx,2019,15926,36005
Bronx,2018,16912,36005
Mott Haven,2019,1799,201
Mott Haven,2018,1826,201
Mott Haven,2017,1769,201
Mott Haven,2010,1638,201
Mott Haven,2012,1584,201
Mott Haven,2011,1790,201
Mott Haven,2016,1699,201
Mott Haven,2015,1674,201
Mott Haven,2014,1611,201
Mott Haven,2013,1500,201
Mott Haven,2009,1930,201
Mott Haven,2008,1514,201
Mott Haven,2007,1557,201
Mott Haven,2006,1811,201
Mott Haven,2005,1285,201
Mott Haven,2004,1265,201
Mott Haven,2003,1275,201
Mott Haven,2002,1131,201
Hunts Point,2002,693,202
Hunts Point,2003,840,202
Hunts Point,2004,720,202
Hunts Point,2005,699,202
Hunts Point,2006,1002,202
Hunts Point,2007,901,202
Hunts Point,2008,855,202
Hunts Point,2009,1188,202
Hunts Point,2013,980,202
Hunts Point,2014,983,202
Hunts Point,2015,929,202
Hunts Point,2016,933,202
Hunts Point,2011,974,202
Hunts Point,2012,1045,202
Hunts Point,2010,1003,202
Hunts Point,2017,1009,202
Hunts Point,2018,932,202
Hunts Point,2019,877,202
Morrisania,2019,1487,203
Morrisania,2018,1607,203
Morrisania,2017,1718,203
Morrisania,2010,1402,203
Morrisania,2012,1432,203
Morrisania,2011,1463,203
Morrisania,2016,1456,203
Morrisania,2015,1428,203
Morrisania,2014,1449,203
Morrisania,2013,1354,203
Morrisania,2009,1691,203
Morrisania,2008,1408,203
Morrisania,2007,1420,203
Morrisania,2006,1548,203
Morrisania,2005,1064,203
Morrisania,2004,1125,203
Morrisania,2003,1191,203
Morrisania,2002,1171,203
Concourse/Highbridge,2002,1719,204
Concourse/Highbridge,2003,1846,204
Concourse/Highbridge,2004,1772,204
Concourse/Highbridge,2005,1566,204
Concourse/Highbridge,2006,2234,204
Concourse/Highbridge,2007,2047,204
Concourse/Highbridge,2008,1871,204
Concourse/Highbridge,2009,2570,204
Concourse/Highbridge,2013,1836,204
Concourse/Highbridge,2014,1957,204
Concourse/Highbridge,2015,1831,204
Concourse/Highbridge,2016,2022,204
Concourse/Highbridge,2011,1861,204
Concourse/Highbridge,2012,1895,204
Concourse/Highbridge,2010,2047,204
Concourse/Highbridge,2017,2004,204
Concourse/Highbridge,2018,2034,204
Concourse/Highbridge,2019,1846,204
University Heights,2019,1632,205
University Heights,2018,1830,205
University Heights,2017,1854,205
University Heights,2010,1841,205
University Heights,2012,1706,205
University Heights,2011,1723,205
University Heights,2016,1849,205
University Heights,2015,1743,205
University Heights,2014,1744,205
University Heights,2013,1697,205
University Heights,2009,2347,205
University Heights,2008,1897,205
University Heights,2007,1946,205
University Heights,2006,2111,205
University Heights,2005,1492,205
University Heights,2004,1576,205
University Heights,2003,1700,205
University Heights,2002,1670,205
East Tremont,2002,1264,206
East Tremont,2003,1206,206
East Tremont,2004,1170,206
East Tremont,2005,1113,206
East Tremont,2006,1692,206
East Tremont,2007,1656,206
East Tremont,2008,1417,206
East Tremont,2009,1839,206
East Tremont,2013,1383,206
East Tremont,2014,1563,206
East Tremont,2015,1706,206
East Tremont,2016,1680,206
East Tremont,2011,1614,206
East Tremont,2012,1479,206
East Tremont,2010,1560,206
East Tremont,2017,1674,206
East Tremont,2018,1486,206
East Tremont,2019,1499,206
Bedford Park,2019,1207,207
Bedford Park,2018,1346,207
Bedford Park,2017,1380,207
