Location,Data,Fips
Sunset Park,0.222,uhf205
Borough Park,0.192,uhf206
East Flatbush - Flatbush,0.218,uhf207
Canarsie - Flatlands,0.215,uhf208
Bensonhurst - Bay Ridge,0.186,uhf209
Coney Island - Sheepshead Bay,0.178,uhf210
Williamsburg - Bushwick,0.255,uhf211
Washington Heights - Inwood,0.257,uhf301
Central Harlem - Morningside Heights,0.241,uhf302
East Harlem,0.242,uhf303
Upper West Side,0.149,uhf304
Upper East Side,0.12,uhf305
Chelsea - Clinton,0.14,uhf306
Gramercy Park -  Murray Hill,0.123,uhf307
Greenwich Village - Soho,0.107,uhf308
Union Square - Lower East Side,0.149,uhf309
Lower Manhattan,0.109,uhf310
Long Island City - Astoria,0.209,uhf401
West Queens,0.232,uhf402
Flushing - Clearview,0.157,uhf403
Bayside - Little Neck,0.12,uhf404
Ridgewood - Forest Hills,0.192,uhf405
Fresh Meadows,0.168,uhf406
Southwest Queens,0.2,uhf407
Jamaica,0.206,uhf408
Southeast Queens,0.191,uhf409
Rockaway,0.208,uhf410
Port  Richmond,0.223,uhf501
Stapleton - St. George,0.23,uhf502
Willowbrook,0.19,uhf503
South Beach - Tottenville,0.196,uhf504
Bronx,0.232,36005
Brooklyn,0.213,36047
Manhattan,0.194,36061
Queens,0.198,36081
Staten Island,0.207,36085
New York City,0.21,3651000
Kingsbridge - Riverdale,0.223,uhf101
Northeast Bronx,0.212,uhf102
Fordham - Bronx Park,0.243,uhf103
Pelham - Throgs Neck,0.221,uhf104
Crotona - Tremont,0.242,uhf105
High Bridge - Morrisania,0.237,uhf106
Hunts Point - Mott Haven,0.243,uhf107
Greenpoint,0.237,uhf201
Downtown  - Heights - Slope,0.168,uhf202
Bedford Stuyvesant - Crown Heights,0.221,uhf203
East New York,0.238,uhf204
Sunset Park,0.223,uhf205
Borough Park,0.177,uhf206
East Flatbush - Flatbush,0.212,uhf207
Canarsie - Flatlands,0.213,uhf208
Bensonhurst - Bay Ridge,0.181,uhf209
Coney Island - Sheepshead Bay,0.173,uhf210
Williamsburg - Bushwick,0.245,uhf211
Washington Heights - Inwood,0.265,uhf301
Central Harlem - Morningside Heights,0.23,uhf302
East Harlem,0.246,uhf303
Upper West Side,0.141,uhf304
Upper East Side,0.109,uhf305
Chelsea - Clinton,0.126,uhf306
Gramercy Park -  Murray Hill,0.13,uhf307
Greenwich Village - Soho,0.069,uhf308
Union Square - Lower East Side,0.148,uhf309
Lower Manhattan,0.112,uhf310
Long Island City - Astoria,0.213,uhf401
West Queens,0.228,uhf402
Flushing - Clearview,0.154,uhf403
Bayside - Little Neck,0.12,uhf404
Ridgewood - Forest Hills,0.185,uhf405
Fresh Meadows,0.161,uhf406
Southwest Queens,0.204,uhf407
Jamaica,0.204,uhf408
Southeast Queens,0.192,uhf409
