"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Hunts Point,Individuals,2002,Number,11894,202
Morrisania,Individuals,2001,Number,18388,203
Morrisania,Individuals,2002,Number,18595,203
Concourse/Highbridge,Individuals,2001,Number,30750,204
Concourse/Highbridge,Individuals,2002,Number,31026,204
University Heights,Individuals,2001,Number,30919,205
University Heights,Individuals,2002,Number,31215,205
East Tremont,Individuals,2001,Number,19851,206
East Tremont,Individuals,2002,Number,19681,206
Bedford Park,Individuals,2001,Number,24188,207
Bedford Park,Individuals,2002,Number,23948,207
Riverdale,Individuals,2001,Number,6878,208
Riverdale,Individuals,2002,Number,6842,208
Unionport/Soundview,Individuals,2001,Number,21449,209
Unionport/Soundview,Individuals,2002,Number,26477,209
Throgs Neck,Individuals,2001,Number,4225,210
Throgs Neck,Individuals,2002,Number,5445,210
Pelham Parkway,Individuals,2001,Number,7839,211
Pelham Parkway,Individuals,2002,Number,8932,211
Williamsbridge,Individuals,2001,Number,11215,212
Williamsbridge,Individuals,2002,Number,12921,212
Williamsburg/Greenpoint,Individuals,2001,Number,33837,301
Williamsburg/Greenpoint,Individuals,2002,Number,33812,301
Fort Greene/Brooklyn Hts,Individuals,2001,Number,9111,302
Fort Greene/Brooklyn Hts,Individuals,2002,Number,9096,302
Bedford Stuyvesant,Individuals,2001,Number,28641,303
Bedford Stuyvesant,Individuals,2002,Number,28718,303
Bushwick,Individuals,2001,Number,22446,304
Bushwick,Individuals,2002,Number,22672,304
East New York,Individuals,2001,Number,31958,305
East New York,Individuals,2002,Number,32356,305
Park Slope,Individuals,2001,Number,7420,306
Park Slope,Individuals,2002,Number,7346,306
Sunset Park,Individuals,2001,Number,12986,307
Sunset Park,Individuals,2002,Number,13357,307
Crown Heights North,Individuals,2001,Number,14545,308
Crown Heights North,Individuals,2002,Number,15096,308
Crown Heights South,Individuals,2001,Number,10856,309
Crown Heights South,Individuals,2002,Number,8410,309
Bay Ridge,Individuals,2001,Number,6159,310
Bay Ridge,Individuals,2002,Number,6367,310
Bensonhurst,Individuals,2001,Number,16940,311
Bensonhurst,Individuals,2002,Number,17121,311
Borough Park,Individuals,2001,Number,30343,312
Borough Park,Individuals,2002,Number,32026,312
Coney Island,Individuals,2001,Number,21275,313
Coney Island,Individuals,2002,Number,20917,313
Flatbush/Midwood,Individuals,2001,Number,20917,314
Flatbush/Midwood,Individuals,2002,Number,21534,314
Sheepshead Bay,Individuals,2001,Number,16394,315
Sheepshead Bay,Individuals,2002,Number,16205,315
Brownsville,Individuals,2001,Number,19019,316
Brownsville,Individuals,2002,Number,19057,316
East Flatbush,Individuals,2001,Number,13862,317
East Flatbush,Individuals,2002,Number,14740,317
Canarsie,Individuals,2001,Number,9780,318
Canarsie,Individuals,2002,Number,10260,318
Astoria,Individuals,2001,Number,11638,401
Astoria,Individuals,2002,Number,11913,401
Sunnyside/Woodside,Individuals,2001,Number,4823,402
Sunnyside/Woodside,Individuals,2002,Number,4986,402
Jackson Heights,Individuals,2001,Number,10829,403
Jackson Heights,Individuals,2002,Number,11027,403
Elmhurst/Corona,Individuals,2001,Number,10361,404
Elmhurst/Corona,Individuals,2002,Number,10604,404
Ridgewood/Glendale,Individuals,2001,Number,8463,405
Ridgewood/Glendale,Individuals,2002,Number,8399,405
Rego Park/Forest Hills,Individuals,2001,Number,6578,406
Rego Park/Forest Hills,Individuals,2002,Number,6465,406
Flushing,Individuals,2001,Number,9354,407
Flushing,Individuals,2002,Number,9638,407
Fresh Meadows/Briarwood,Individuals,2001,Number,7397,408
Fresh Meadows/Briarwood,Individuals,2002,Number,7818,408
Woodhaven,Individuals,2001,Number,8619,409
Woodhaven,Individuals,2002,Number,8404,409
Howard Beach,Individuals,2001,Number,5290,410
Howard Beach,Individuals,2002,Number,5248,410
Bayside,Individuals,2001,Number,1619,411
Bayside,Individuals,2002,Number,1691,411
Jamaica/St. Albans,Individuals,2001,Number,17718,412
Jamaica/St. Albans,Individuals,2002,Number,17617,412
Queens Village,Individuals,2001,Number,6824,413
Queens Village,Individuals,2002,Number,6862,413
The Rockaways,Individuals,2001,Number,14056,414
The Rockaways,Individuals,2002,Number,14370,414
St. George,Individuals,2001,Number,11290,501
St. George,Individuals,2002,Number,14292,501
South Beach,Individuals,2001,Number,3189,502
South Beach,Individuals,2002,Number,4447,502
Tottenville,Individuals,2001,Number,1916,503
Tottenville,Individuals,2002,Number,2751,503
Bronx,Individuals,2001,Number,208533,36005
Bronx,Individuals,2002,Number,218435,36005
Brooklyn,Individuals,2001,Number,326489,36047
Brooklyn,Individuals,2002,Number,332090,36047
Manhattan,Individuals,2001,Number,133307,36061
Manhattan,Individuals,2002,Number,138984,36061
Queens,Individuals,2001,Number,123569,36081
Queens,Individuals,2002,Number,125042,36081
Staten Island,Individuals,2001,Number,16395,36085
Staten Island,Individuals,2002,Number,51490,36085
New York City,Individuals,2001,Number,808296,3651000
New York City,Individuals,2002,Number,836044,3651000
Battery Park/Tribeca,Individuals,2005,Number,1428,101
Greenwich Village,Individuals,2005,Number,3201,102
Lower East Side,Individuals,2005,Number,24133,103
Chelsea/Clinton,Individuals,2005,Number,10332,104
Midtown Business District,Individuals,2005,Number,2523,105
Murray Hill/Stuyvesant,Individuals,2005,Number,2719,106
Upper West Side,Individuals,2005,Number,12544,107
Upper East Side,Individuals,2005,Number,3168,108
Manhattanville,Individuals,2005,Number,21404,109
Central Harlem,Individuals,2005,Number,24625,110
East Harlem,Individuals,2005,Number,30065,111
Washington Heights,Individuals,2005,Number,44868,112
Mott Haven,Individuals,2005,Number,30239,201
Hunts Point,Individuals,2005,Number,15606,202
Morrisania,Individuals,2005,Number,24070,203
Concourse/Highbridge,Individuals,2005,Number,42714,204
University Heights,Individuals,2005,Number,40987,205
East Tremont,Individuals,2005,Number,25078,206
Bedford Park,Individuals,2005,Number,31135,207
Riverdale,Individuals,2005,Number,9782,208
Unionport/Soundview,Individuals,2005,Number,33334,209
Throgs Neck,Individuals,2005,Number,8128,210
Pelham Parkway,Individuals,2005,Number,12487,211
Williamsbridge,Individuals,2005,Number,19455,212
Williamsburg/Greenpoint,Individuals,2005,Number,39353,301
Fort Greene/Brooklyn Hts,Individuals,2005,Number,10711,302
Bedford Stuyvesant,Individuals,2005,Number,38945,303
Bushwick,Individuals,2005,Number,30564,304
East New York,Individuals,2005,Number,42737,305
Park Slope,Individuals,2005,Number,8864,306
Sunset Park,Individuals,2005,Number,17796,307
Crown Heights North,Individuals,2005,Number,19580,308
Crown Heights South,Individuals,2005,Number,14928,309
Bay Ridge,Individuals,2005,Number,8930,310
Bensonhurst,Individuals,2005,Number,21832,311
Borough Park,Individuals,2005,Number,37544,312
Coney Island,Individuals,2005,Number,23964,313
Flatbush/Midwood,Individuals,2005,Number,24838,314
Sheepshead Bay,Individuals,2005,Number,18383,315
Brownsville,Individuals,2005,Number,25884,316
East Flatbush,Individuals,2005,Number,19006,317
Canarsie,Individuals,2005,Number,14782,318
Astoria,Individuals,2005,Number,15392,401
Sunnyside/Woodside,Individuals,2005,Number,7016,402
Jackson Heights,Individuals,2005,Number,15148,403
Elmhurst/Corona,Individuals,2005,Number,14910,404
Ridgewood/Glendale,Individuals,2005,Number,11338,405
Rego Park/Forest Hills,Individuals,2005,Number,6974,406
Flushing,Individuals,2005,Number,12006,407
Fresh Meadows/Briarwood,Individuals,2005,Number,8614,408
Woodhaven,Individuals,2005,Number,10866,409
Howard Beach,Individuals,2005,Number,6588,410
Bayside,Individuals,2005,Number,2391,411
Jamaica/St. Albans,Individuals,2005,Number,22840,412
Queens Village,Individuals,2005,Number,9050,413
The Rockaways,Individuals,2005,Number,16882,414
St. George,Individuals,2005,Number,19143,501
South Beach,Individuals,2005,Number,5984,502
Tottenville,Individuals,2005,Number,3837,503
Bronx,Individuals,2005,Number,293016,36005
Brooklyn,Individuals,2005,Number,418638,36047
Manhattan,Individuals,2005,Number,181010,36061
Queens,Individuals,2005,Number,160017,36081
Staten Island,Individuals,2005,Number,28963,36085
New York City,Individuals,2005,Number,1081714,3651000
Battery Park/Tribeca,Individuals,2006,Number,1344,101
Greenwich Village,Individuals,2006,Number,3121,102
Lower East Side,Individuals,2006,Number,24197,103
Chelsea/Clinton,Individuals,2006,Number,10008,104
Midtown Business District,Individuals,2006,Number,2710,105
Murray Hill/Stuyvesant,Individuals,2006,Number,2649,106
Upper West Side,Individuals,2006,Number,11960,107
Upper East Side,Individuals,2006,Number,3214,108
Manhattanville,Individuals,2006,Number,20425,109
Central Harlem,Individuals,2006,Number,23752,110
East Harlem,Individuals,2006,Number,29182,111
Washington Heights,Individuals,2006,Number,42584,112
Mott Haven,Individuals,2006,Number,29579,201
Hunts Point,Individuals,2006,Number,15412,202
Morrisania,Individuals,2006,Number,23631,203
Concourse/Highbridge,Individuals,2006,Number,42562,204
University Heights,Individuals,2006,Number,40710,205
East Tremont,Individuals,2006,Number,25492,206
Bedford Park,Individuals,2006,Number,31659,207
Riverdale,Individuals,2006,Number,9686,208
Unionport/Soundview,Individuals,2006,Number,32738,209
Throgs Neck,Individuals,2006,Number,8133,210
Pelham Parkway,Individuals,2006,Number,12763,211
Williamsbridge,Individuals,2006,Number,20186,212
Williamsburg/Greenpoint,Individuals,2006,Number,39581,301
Fort Greene/Brooklyn Hts,Individuals,2006,Number,10315,302
Bedford Stuyvesant,Individuals,2006,Number,38899,303
Bushwick,Individuals,2006,Number,31066,304
East New York,Individuals,2006,Number,43486,305
Park Slope,Individuals,2006,Number,8475,306
Sunset Park,Individuals,2006,Number,17376,307
Crown Heights North,Individuals,2006,Number,18929,308
Crown Heights South,Individuals,2006,Number,14836,309
Bay Ridge,Individuals,2006,Number,9228,310
Bensonhurst,Individuals,2006,Number,22295,311
Borough Park,Individuals,2006,Number,38091,312
Coney Island,Individuals,2006,Number,23910,313
Flatbush/Midwood,Individuals,2006,Number,24555,314
Sheepshead Bay,Individuals,2006,Number,18749,315
Brownsville,Individuals,2006,Number,25865,316
East Flatbush,Individuals,2006,Number,18864,317
Canarsie,Individuals,2006,Number,15114,318
Astoria,Individuals,2006,Number,15527,401
Sunnyside/Woodside,Individuals,2006,Number,7201,402
Jackson Heights,Individuals,2006,Number,15880,403
Elmhurst/Corona,Individuals,2006,Number,15731,404
Ridgewood/Glendale,Individuals,2006,Number,11891,405
Rego Park/Forest Hills,Individuals,2006,Number,7108,406
Flushing,Individuals,2006,Number,12530,407
Fresh Meadows/Briarwood,Individuals,2006,Number,8840,408
Woodhaven,Individuals,2006,Number,11161,409
Howard Beach,Individuals,2006,Number,6602,410
Bayside,Individuals,2006,Number,2528,411
Jamaica/St. Albans,Individuals,2006,Number,22130,412
Queens Village,Individuals,2006,Number,9106,413
The Rockaways,Individuals,2006,Number,17089,414
St. George,Individuals,2006,Number,20015,501
South Beach,Individuals,2006,Number,6576,502
Tottenville,Individuals,2006,Number,4085,503
Bronx,Individuals,2006,Number,293365,36005
Brooklyn,Individuals,2006,Number,418691,36047
Manhattan,Individuals,2006,Number,175933,36061
Queens,Individuals,2006,Number,162632,36081
Staten Island,Individuals,2006,Number,30710,36085
New York City,Individuals,2006,Number,1081334,3651000
Battery Park/Tribeca,Individuals,2007,Number,1515,101
Greenwich Village,Individuals,2007,Number,3258,102
Lower East Side,Individuals,2007,Number,25554,103
Chelsea/Clinton,Individuals,2007,Number,10196,104
Midtown Business District,Individuals,2007,Number,2913,105
Murray Hill/Stuyvesant,Individuals,2007,Number,2737,106
Upper West Side,Individuals,2007,Number,12136,107
Upper East Side,Individuals,2007,Number,3283,108
Manhattanville,Individuals,2007,Number,20222,109
Central Harlem,Individuals,2007,Number,24195,110
East Harlem,Individuals,2007,Number,29740,111
Washington Heights,Individuals,2007,Number,43121,112
Mott Haven,Individuals,2007,Number,31294,201
Hunts Point,Individuals,2007,Number,16601,202
Morrisania,Individuals,2007,Number,24446,203
Concourse/Highbridge,Individuals,2007,Number,43659,204
University Heights,Individuals,2007,Number,41116,205
East Tremont,Individuals,2007,Number,25784,206
Bedford Park,Individuals,2007,Number,33069,207
Riverdale,Individuals,2007,Number,11049,208
Unionport/Soundview,Individuals,2007,Number,33656,209
Throgs Neck,Individuals,2007,Number,9289,210
Pelham Parkway,Individuals,2007,Number,13924,211
Williamsbridge,Individuals,2007,Number,21373,212
Williamsburg/Greenpoint,Individuals,2007,Number,38749,301
Fort Greene/Brooklyn Hts,Individuals,2007,Number,10463,302
Bedford Stuyvesant,Individuals,2007,Number,40453,303
Bushwick,Individuals,2007,Number,31162,304
East New York,Individuals,2007,Number,45708,305
Park Slope,Individuals,2007,Number,8380,306
Sunset Park,Individuals,2007,Number,17469,307
Crown Heights North,Individuals,2007,Number,19516,308
Crown Heights South,Individuals,2007,Number,15145,309
Bay Ridge,Individuals,2007,Number,9335,310
Bensonhurst,Individuals,2007,Number,21784,311
Borough Park,Individuals,2007,Number,37203,312
Coney Island,Individuals,2007,Number,23273,313
Flatbush/Midwood,Individuals,2007,Number,24485,314
Sheepshead Bay,Individuals,2007,Number,18350,315
Brownsville,Individuals,2007,Number,27313,316
East Flatbush,Individuals,2007,Number,20258,317
Canarsie,Individuals,2007,Number,16021,318
Astoria,Individuals,2007,Number,15653,401
Sunnyside/Woodside,Individuals,2007,Number,7444,402
Jackson Heights,Individuals,2007,Number,16164,403
Elmhurst/Corona,Individuals,2007,Number,16589,404
Ridgewood/Glendale,Individuals,2007,Number,12281,405
Rego Park/Forest Hills,Individuals,2007,Number,6815,406
Flushing,Individuals,2007,Number,12799,407
Fresh Meadows/Briarwood,Individuals,2007,Number,9205,408
Woodhaven,Individuals,2007,Number,12055,409
Howard Beach,Individuals,2007,Number,7275,410
Bayside,Individuals,2007,Number,2628,411
Jamaica/St. Albans,Individuals,2007,Number,24920,412
Queens Village,Individuals,2007,Number,9899,413
The Rockaways,Individuals,2007,Number,18556,414
St. George,Individuals,2007,Number,22867,501
South Beach,Individuals,2007,Number,7395,502
Tottenville,Individuals,2007,Number,4798,503
Bronx,Individuals,2007,Number,305261,36005
Brooklyn,Individuals,2007,Number,425066,36047
Manhattan,Individuals,2007,Number,178869,36061
Queens,Individuals,2007,Number,172282,36081
Staten Island,Individuals,2007,Number,35060,36085
New York City,Individuals,2007,Number,1116538,3651000
Battery Park/Tribeca,Individuals,2009,Number,2056,101
Greenwich Village,Individuals,2009,Number,4667,102
Lower East Side,Individuals,2009,Number,37282,103
Chelsea/Clinton,Individuals,2009,Number,17585,104
Midtown Business District,Individuals,2009,Number,3774,105
Murray Hill/Stuyvesant,Individuals,2009,Number,4104,106
Upper West Side,Individuals,2009,Number,16814,107
Upper East Side,Individuals,2009,Number,5037,108
Manhattanville,Individuals,2009,Number,27972,109
Central Harlem,Individuals,2009,Number,35640,110
East Harlem,Individuals,2009,Number,43421,111
Washington Heights,Individuals,2009,Number,60698,112
Mott Haven,Individuals,2009,Number,38819,201
Hunts Point,Individuals,2009,Number,19871,202
Morrisania,Individuals,2009,Number,31454,203
Concourse/Highbridge,Individuals,2009,Number,53635,204
University Heights,Individuals,2009,Number,49620,205
East Tremont,Individuals,2009,Number,32527,206
Bedford Park,Individuals,2009,Number,42206,207
Riverdale,Individuals,2009,Number,13716,208
Unionport/Soundview,Individuals,2009,Number,44624,209
Throgs Neck,Individuals,2009,Number,12884,210
Pelham Parkway,Individuals,2009,Number,19231,211
Williamsbridge,Individuals,2009,Number,30500,212
Williamsburg/Greenpoint,Individuals,2009,Number,54872,301
Fort Greene/Brooklyn Hts,Individuals,2009,Number,15847,302
Bedford Stuyvesant,Individuals,2009,Number,55657,303
Bushwick,Individuals,2009,Number,40908,304
East New York,Individuals,2009,Number,65605,305
Park Slope,Individuals,2009,Number,10961,306
Sunset Park,Individuals,2009,Number,25143,307
Crown Heights North,Individuals,2009,Number,25360,308
Crown Heights South,Individuals,2009,Number,22277,309
Bay Ridge,Individuals,2009,Number,15020,310
Bensonhurst,Individuals,2009,Number,32997,311
Borough Park,Individuals,2009,Number,56042,312
Coney Island,Individuals,2009,Number,31206,313
Flatbush/Midwood,Individuals,2009,Number,35230,314
Sheepshead Bay,Individuals,2009,Number,26076,315
Brownsville,Individuals,2009,Number,37914,316
East Flatbush,Individuals,2009,Number,32146,317
Canarsie,Individuals,2009,Number,26213,318
Astoria,Individuals,2009,Number,23384,401
Sunnyside/Woodside,Individuals,2009,Number,11774,402
Jackson Heights,Individuals,2009,Number,27073,403
Elmhurst/Corona,Individuals,2009,Number,26134,404
Ridgewood/Glendale,Individuals,2009,Number,20027,405
Rego Park/Forest Hills,Individuals,2009,Number,8918,406
Flushing,Individuals,2009,Number,20167,407
Fresh Meadows/Briarwood,Individuals,2009,Number,15546,408
Woodhaven,Individuals,2009,Number,22383,409
Howard Beach,Individuals,2009,Number,14268,410
Bayside,Individuals,2009,Number,4518,411
Jamaica/St. Albans,Individuals,2009,Number,47152,412
Queens Village,Individuals,2009,Number,20214,413
The Rockaways,Individuals,2009,Number,30730,414
St. George,Individuals,2009,Number,36075,501
South Beach,Individuals,2009,Number,12151,502
Tottenville,Individuals,2009,Number,8692,503
Bronx,Individuals,2009,Number,389090,36005
Brooklyn,Individuals,2009,Number,609475,36047
Manhattan,Individuals,2009,Number,259051,36061
Queens,Individuals,2009,Number,292288,36081
Staten Island,Individuals,2009,Number,56918,36085
New York City,Individuals,2009,Number,1607212,3651000
Battery Park/Tribeca,Individuals,2011,Number,2443,101
Greenwich Village,Individuals,2011,Number,4563,102
Lower East Side,Individuals,2011,Number,47666,103
Chelsea/Clinton,Individuals,2011,Number,13190,104
Midtown Business District,Individuals,2011,Number,4059,105
Murray Hill/Stuyvesant,Individuals,2011,Number,5483,106
Upper West Side,Individuals,2011,Number,19887,107
Upper East Side,Individuals,2011,Number,6534,108
Manhattanville,Individuals,2011,Number,31234,109
Central Harlem,Individuals,2011,Number,42394,110
East Harlem,Individuals,2011,Number,50042,111
Washington Heights,Individuals,2011,Number,39343,112
Mott Haven,Individuals,2011,Number,47665,201
Hunts Point,Individuals,2011,Number,24126,202
Morrisania,Individuals,2011,Number,40411,203
Concourse/Highbridge,Individuals,2011,Number,66603,204
University Heights,Individuals,2011,Number,63485,205
East Tremont,Individuals,2011,Number,39168,206
Bedford Park,Individuals,2011,Number,53493,207
Riverdale,Individuals,2011,Number,18557,208
Unionport/Soundview,Individuals,2011,Number,56728,209
Throgs Neck,Individuals,2011,Number,16905,210
Pelham Parkway,Individuals,2011,Number,25264,211
Williamsbridge,Individuals,2011,Number,38522,212
Williamsburg/Greenpoint,Individuals,2011,Number,59796,301
Fort Greene/Brooklyn Hts,Individuals,2011,Number,14659,302
Bedford Stuyvesant,Individuals,2011,Number,58146,303
Bushwick,Individuals,2011,Number,42723,304
East New York,Individuals,2011,Number,72854,305
Park Slope,Individuals,2011,Number,11815,306
Sunset Park,Individuals,2011,Number,31213,307
Crown Heights North,Individuals,2011,Number,27697,308
Crown Heights South,Individuals,2011,Number,26537,309
Bay Ridge,Individuals,2011,Number,18810,310
Bensonhurst,Individuals,2011,Number,40317,311
Borough Park,Individuals,2011,Number,68792,312
Coney Island,Individuals,2011,Number,34485,313
Flatbush/Midwood,Individuals,2011,Number,41562,314
Sheepshead Bay,Individuals,2011,Number,30242,315
Brownsville,Individuals,2011,Number,39850,316
East Flatbush,Individuals,2011,Number,37332,317
Canarsie,Individuals,2011,Number,30984,318
Astoria,Individuals,2011,Number,22047,401
Sunnyside/Woodside,Individuals,2011,Number,11467,402
Jackson Heights,Individuals,2011,Number,26667,403
Elmhurst/Corona,Individuals,2011,Number,25905,404
Ridgewood/Glendale,Individuals,2011,Number,19471,405
Rego Park/Forest Hills,Individuals,2011,Number,8506,406
Flushing,Individuals,2011,Number,20892,407
Fresh Meadows/Briarwood,Individuals,2011,Number,15151,408
Woodhaven,Individuals,2011,Number,21872,409
Howard Beach,Individuals,2011,Number,14131,410
Bayside,Individuals,2011,Number,4632,411
Jamaica/St. Albans,Individuals,2011,Number,46439,412
Queens Village,Individuals,2011,Number,19746,413
The Rockaways,Individuals,2011,Number,28688,414
St. George,Individuals,2011,Number,43985,501
South Beach,Individuals,2011,Number,15990,502
Tottenville,Individuals,2011,Number,11500,503
Bronx,Individuals,2011,Number,490927,36005
Brooklyn,Individuals,2011,Number,687814,36047
Manhattan,Individuals,2011,Number,296838,36061
Queens,Individuals,2011,Number,285614,36081
Staten Island,Individuals,2011,Number,71475,36085
New York City,Individuals,2011,Number,1832667,3651000
Battery Park/Tribeca,Individuals,2001,Percent,0.02952,101
Battery Park/Tribeca,Individuals,2002,Percent,0.03158,101
Greenwich Village,Individuals,2001,Percent,0.02653,102
Greenwich Village,Individuals,2002,Percent,0.02861,102
Lower East Side,Individuals,2001,Percent,0.08711,103
Lower East Side,Individuals,2002,Percent,0.10463,103
Chelsea/Clinton,Individuals,2001,Percent,0.06116,104
Chelsea/Clinton,Individuals,2002,Percent,0.0678,104
Midtown Business District,Individuals,2001,Percent,0.05315,105
Midtown Business District,Individuals,2002,Percent,0.05519,105
Murray Hill/Stuyvesant,Individuals,2001,Percent,0.01357,106
Murray Hill/Stuyvesant,Individuals,2002,Percent,0.01507,106
Upper West Side,Individuals,2001,Percent,0.04824,107
Upper West Side,Individuals,2002,Percent,0.04867,107
Upper East Side,Individuals,2001,Percent,0.01024,108
Upper East Side,Individuals,2002,Percent,0.0115,108
Manhattanville,Individuals,2001,Percent,0.14798,109
Manhattanville,Individuals,2002,Percent,0.14603,109
Central Harlem,Individuals,2001,Percent,0.18829,110
Central Harlem,Individuals,2002,Percent,0.18287,110
East Harlem,Individuals,2001,Percent,0.1676,111
East Harlem,Individuals,2002,Percent,0.19087,111
Washington Heights,Individuals,2001,Percent,0.1789,112
Washington Heights,Individuals,2002,Percent,0.17579,112
Mott Haven,Individuals,2001,Percent,0.2591,201
Mott Haven,Individuals,2002,Percent,0.26119,201
Hunts Point,Individuals,2001,Percent,0.24654,202
Hunts Point,Individuals,2002,Percent,0.25402,202
Morrisania,Individuals,2001,Percent,0.26815,203
Morrisania,Individuals,2002,Percent,0.27117,203
Concourse/Highbridge,Individuals,2001,Percent,0.22033,204
Concourse/Highbridge,Individuals,2002,Percent,0.22231,204
University Heights,Individuals,2001,Percent,0.24097,205
University Heights,Individuals,2002,Percent,0.24327,205
East Tremont,Individuals,2001,Percent,0.26227,206
East Tremont,Individuals,2002,Percent,0.26003,206
Bedford Park,Individuals,2001,Percent,0.17105,207
Bedford Park,Individuals,2002,Percent,0.16935,207
Riverdale,Individuals,2001,Percent,0.06788,208
Riverdale,Individuals,2002,Percent,0.06752,208
Unionport/Soundview,Individuals,2001,Percent,0.12778,209
Unionport/Soundview,Individuals,2002,Percent,0.15773,209
Throgs Neck,Individuals,2001,Percent,0.03644,210
Throgs Neck,Individuals,2002,Percent,0.04696,210
Pelham Parkway,Individuals,2001,Percent,0.07081,211
Pelham Parkway,Individuals,2002,Percent,0.08068,211
Williamsbridge,Individuals,2001,Percent,0.07523,212
Williamsbridge,Individuals,2002,Percent,0.08667,212
Williamsburg/Greenpoint,Individuals,2001,Percent,0.21104,301
Williamsburg/Greenpoint,Individuals,2002,Percent,0.21088,301
Fort Greene/Brooklyn Hts,Individuals,2001,Percent,0.09239,302
Fort Greene/Brooklyn Hts,Individuals,2002,Percent,0.09223,302
Bedford Stuyvesant,Individuals,2001,Percent,0.19908,303
Bedford Stuyvesant,Individuals,2002,Percent,0.19962,303
Bushwick,Individuals,2001,Percent,0.21509,304
Bushwick,Individuals,2002,Percent,0.21725,304
East New York,Individuals,2001,Percent,0.18452,305
East New York,Individuals,2002,Percent,0.18682,305
Park Slope,Individuals,2001,Percent,0.07131,306
Park Slope,Individuals,2002,Percent,0.0706,306
Sunset Park,Individuals,2001,Percent,0.10816,307
Sunset Park,Individuals,2002,Percent,0.11125,307
Crown Heights North,Individuals,2001,Percent,0.15139,308
Crown Heights North,Individuals,2002,Percent,0.15713,308
Crown Heights South,Individuals,2001,Percent,0.10437,309
Crown Heights South,Individuals,2002,Percent,0.08085,309
Bay Ridge,Individuals,2001,Percent,0.05026,310
Bay Ridge,Individuals,2002,Percent,0.05196,310
Bensonhurst,Individuals,2001,Percent,0.09842,311
Bensonhurst,Individuals,2002,Percent,0.09947,311
Borough Park,Individuals,2001,Percent,0.16398,312
Borough Park,Individuals,2002,Percent,0.17307,312
Coney Island,Individuals,2001,Percent,0.20048,313
Coney Island,Individuals,2002,Percent,0.19711,313
Flatbush/Midwood,Individuals,2001,Percent,0.12391,314
Flatbush/Midwood,Individuals,2002,Percent,0.12757,314
Sheepshead Bay,Individuals,2001,Percent,0.10226,315
Sheepshead Bay,Individuals,2002,Percent,0.10108,315
Brownsville,Individuals,2001,Percent,0.22285,316
Brownsville,Individuals,2002,Percent,0.2233,316
East Flatbush,Individuals,2001,Percent,0.08363,317
East Flatbush,Individuals,2002,Percent,0.08893,317
Canarsie,Individuals,2001,Percent,0.05024,318
Canarsie,Individuals,2002,Percent,0.05271,318
Astoria,Individuals,2001,Percent,0.0551,401
Astoria,Individuals,2002,Percent,0.0564,401
Sunnyside/Woodside,Individuals,2001,Percent,0.04388,402
Sunnyside/Woodside,Individuals,2002,Percent,0.04536,402
Jackson Heights,Individuals,2001,Percent,0.06405,403
Jackson Heights,Individuals,2002,Percent,0.06522,403
Elmhurst/Corona,Individuals,2001,Percent,0.06204,404
Elmhurst/Corona,Individuals,2002,Percent,0.0635,404
Ridgewood/Glendale,Individuals,2001,Percent,0.05101,405
Ridgewood/Glendale,Individuals,2002,Percent,0.05062,405
Rego Park/Forest Hills,Individuals,2001,Percent,0.05672,406
Rego Park/Forest Hills,Individuals,2002,Percent,0.05575,406
Flushing,Individuals,2001,Percent,0.0385,407
Flushing,Individuals,2002,Percent,0.03967,407
Fresh Meadows/Briarwood,Individuals,2001,Percent,0.05046,408
