"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Morrisania,Households,2005,Number,11474,203
Concourse/Highbridge,Households,2005,Number,20903,204
University Heights,Households,2005,Number,19295,205
East Tremont,Households,2005,Number,11847,206
Bedford Park,Households,2005,Number,15227,207
Riverdale,Households,2005,Number,5186,208
Unionport/Soundview,Households,2005,Number,16560,209
Throgs Neck,Households,2005,Number,4879,210
Pelham Parkway,Households,2005,Number,6813,211
Williamsbridge,Households,2005,Number,9436,212
Williamsburg/Greenpoint,Households,2005,Number,14736,301
Fort Greene/Brooklyn Hts,Households,2005,Number,7001,302
Bedford Stuyvesant,Households,2005,Number,19993,303
Bushwick,Households,2005,Number,15243,304
East New York,Households,2005,Number,20757,305
Park Slope,Households,2005,Number,5034,306
Sunset Park,Households,2005,Number,9606,307
Crown Heights North,Households,2005,Number,10465,308
Crown Heights South,Households,2005,Number,7986,309
Bay Ridge,Households,2005,Number,5107,310
Bensonhurst,Households,2005,Number,12981,311
Borough Park,Households,2005,Number,13190,312
Coney Island,Households,2005,Number,14749,313
Flatbush/Midwood,Households,2005,Number,13507,314
Sheepshead Bay,Households,2005,Number,11181,315
Brownsville,Households,2005,Number,12054,316
East Flatbush,Households,2005,Number,10415,317
Canarsie,Households,2005,Number,7977,318
Astoria,Households,2005,Number,8629,401
Sunnyside/Woodside,Households,2005,Number,4403,402
Jackson Heights,Households,2005,Number,8660,403
Elmhurst/Corona,Households,2005,Number,8599,404
Ridgewood/Glendale,Households,2005,Number,6126,405
Rego Park/Forest Hills,Households,2005,Number,4686,406
Flushing,Households,2005,Number,7820,407
Fresh Meadows/Briarwood,Households,2005,Number,5326,408
Woodhaven,Households,2005,Number,5950,409
Howard Beach,Households,2005,Number,3875,410
Bayside,Households,2005,Number,1713,411
Jamaica/St. Albans,Households,2005,Number,12767,412
Queens Village,Households,2005,Number,5650,413
The Rockaways,Households,2005,Number,8690,414
St. George,Households,2005,Number,9544,501
South Beach,Households,2005,Number,3627,502
Tottenville,Households,2005,Number,2490,503
Bronx,Households,2005,Number,144131,36005
Brooklyn,Households,2005,Number,211982,36047
Manhattan,Households,2005,Number,111310,36061
Queens,Households,2005,Number,92894,36081
Staten Island,Households,2005,Number,15662,36085
New York City,Households,2005,Number,576026,3651000
Battery Park/Tribeca,Households,2006,Number,1135,101
Greenwich Village,Households,2006,Number,2419,102
Lower East Side,Households,2006,Number,15063,103
Chelsea/Clinton,Households,2006,Number,7939,104
Midtown Business District,Households,2006,Number,2414,105
Murray Hill/Stuyvesant,Households,2006,Number,2202,106
Upper West Side,Households,2006,Number,8783,107
Upper East Side,Households,2006,Number,2505,108
Manhattanville,Households,2006,Number,11701,109
Central Harlem,Households,2006,Number,13842,110
East Harlem,Households,2006,Number,16977,111
Washington Heights,Households,2006,Number,24714,112
Mott Haven,Households,2006,Number,15044,201
Hunts Point,Households,2006,Number,7579,202
Morrisania,Households,2006,Number,11676,203
Concourse/Highbridge,Households,2006,Number,21255,204
University Heights,Households,2006,Number,19686,205
East Tremont,Households,2006,Number,12311,206
Bedford Park,Households,2006,Number,15718,207
Riverdale,Households,2006,Number,5268,208
Unionport/Soundview,Households,2006,Number,16478,209
Throgs Neck,Households,2006,Number,5071,210
Pelham Parkway,Households,2006,Number,7112,211
Williamsbridge,Households,2006,Number,10026,212
Williamsburg/Greenpoint,Households,2006,Number,15026,301
Fort Greene/Brooklyn Hts,Households,2006,Number,6871,302
Bedford Stuyvesant,Households,2006,Number,20293,303
Bushwick,Households,2006,Number,15803,304
East New York,Households,2006,Number,21595,305
Park Slope,Households,2006,Number,4914,306
Sunset Park,Households,2006,Number,9597,307
Crown Heights North,Households,2006,Number,10500,308
Crown Heights South,Households,2006,Number,8144,309
Bay Ridge,Households,2006,Number,5260,310
Bensonhurst,Households,2006,Number,13338,311
Borough Park,Households,2006,Number,13405,312
Coney Island,Households,2006,Number,15031,313
Flatbush/Midwood,Households,2006,Number,13598,314
Sheepshead Bay,Households,2006,Number,11482,315
Brownsville,Households,2006,Number,12288,316
East Flatbush,Households,2006,Number,10675,317
Canarsie,Households,2006,Number,8410,318
Astoria,Households,2006,Number,8843,401
Sunnyside/Woodside,Households,2006,Number,4544,402
Jackson Heights,Households,2006,Number,9216,403
Elmhurst/Corona,Households,2006,Number,9180,404
Ridgewood/Glendale,Households,2006,Number,6483,405
Rego Park/Forest Hills,Households,2006,Number,4827,406
Flushing,Households,2006,Number,8294,407
Fresh Meadows/Briarwood,Households,2006,Number,5528,408
Woodhaven,Households,2006,Number,6209,409
Howard Beach,Households,2006,Number,3901,410
Bayside,Households,2006,Number,1834,411
Jamaica/St. Albans,Households,2006,Number,12669,412
Queens Village,Households,2006,Number,5777,413
The Rockaways,Households,2006,Number,8864,414
St. George,Households,2006,Number,10002,501
South Beach,Households,2006,Number,4013,502
