"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
Washington Heights,Receives Cash Assistance,2005,Number,14512,112
Mott Haven,Receives Cash Assistance,2005,Number,17023,201
Hunts Point,Receives Cash Assistance,2005,Number,8488,202
Morrisania,Receives Cash Assistance,2005,Number,13733,203
Concourse/Highbridge,Receives Cash Assistance,2005,Number,22939,204
University Heights,Receives Cash Assistance,2005,Number,23310,205
East Tremont,Receives Cash Assistance,2005,Number,15567,206
Bedford Park,Receives Cash Assistance,2005,Number,17041,207
Riverdale,Receives Cash Assistance,2005,Number,4249,208
Unionport/Soundview,Receives Cash Assistance,2005,Number,17882,209
Throgs Neck,Receives Cash Assistance,2005,Number,3285,210
Pelham Parkway,Receives Cash Assistance,2005,Number,5869,211
Williamsbridge,Receives Cash Assistance,2005,Number,11633,212
Williamsburg/Greenpoint,Receives Cash Assistance,2005,Number,8264,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2005,Number,4885,302
Bedford Stuyvesant,Receives Cash Assistance,2005,Number,19939,303
Bushwick,Receives Cash Assistance,2005,Number,13749,304
East New York,Receives Cash Assistance,2005,Number,20491,305
Park Slope,Receives Cash Assistance,2005,Number,3592,306
Sunset Park,Receives Cash Assistance,2005,Number,4997,307
Crown Heights North,Receives Cash Assistance,2005,Number,10600,308
Crown Heights South,Receives Cash Assistance,2005,Number,5975,309
Bay Ridge,Receives Cash Assistance,2005,Number,1893,310
