"Name","Children Under 6 Years with Elevated Blood Lead Levels (BLL)"
"Description","<g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4""><g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4"">Number</g></g>&nbsp;of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Childhood Lead Exposure; 2005-2018]; retrieved from&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">&nbsp;http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","Rates are calculated by using the number of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater, divided by the number of children less than 6 years old who were tested for lead poisoning in a given year; expressed as cases per 1,000 tested.<br />
Children can receive more than one test during the calendar year, but are only counted once using the highest confirmed blood lead level during the calendar year.&nbsp;"

Location,Blood Lead Level,TimeFrame,DataFormat,Data,Fips
Southwest Queens,5 mcg/dL or greater,2018,Rate,12.6,uhf407
Jamaica,5 mcg/dL or greater,2018,Rate,14.6,uhf408
Southeast Queens,5 mcg/dL or greater,2018,Rate,14.9,uhf409
Rockaway,5 mcg/dL or greater,2018,Rate,8.2,uhf410
Port  Richmond,5 mcg/dL or greater,2018,Rate,19,uhf501
Stapleton - St. George,5 mcg/dL or greater,2018,Rate,16.8,uhf502
Willowbrook,5 mcg/dL or greater,2018,Rate,9.2,uhf503
South Beach - Tottenville,5 mcg/dL or greater,2018,Rate,3.5,uhf504
New York City,10 mcg/dL or greater,2018,Number,720,3651000
Bronx,10 mcg/dL or greater,2018,Number,128,36005
Brooklyn,10 mcg/dL or greater,2018,Number,321,36047
Manhattan,10 mcg/dL or greater,2018,Number,42,36061
Queens,10 mcg/dL or greater,2018,Number,195,36081
Staten Island,10 mcg/dL or greater,2018,Number,34,36085
Kingsbridge - Riverdale,10 mcg/dL or greater,2018,Number,6,uhf101
Northeast Bronx,10 mcg/dL or greater,2018,Number,14,uhf102
Fordham - Bronx Park,10 mcg/dL or greater,2018,Number,37,uhf103
Pelham - Throgs Neck,10 mcg/dL or greater,2018,Number,19,uhf104
Crotona - Tremont,10 mcg/dL or greater,2018,Number,24,uhf105
High Bridge - Morrisania,10 mcg/dL or greater,2018,Number,21,uhf106
Hunts Point - Mott Haven,10 mcg/dL or greater,2018,Number,7,uhf107
Greenpoint,10 mcg/dL or greater,2018,Number,24,uhf201
Downtown  - Heights - Slope,10 mcg/dL or greater,2018,Number,12,uhf202
Bedford Stuyvesant - Crown Heights,10 mcg/dL or greater,2018,Number,37,uhf203
