"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Canarsie,Asian,2009,Number,5157,318
East Flatbush,Asian,2009,Number,1867,317
Crown Heights South,Asian,2009,Number,1282,309
Sunset Park,Asian,2009,Number,38737,307
Bay Ridge,Asian,2009,Number,22703,310
Borough Park,Asian,2009,Number,20131,312
Flatbush/Midwood,Asian,2009,Number,11719,314
Sheepshead Bay,Asian,2009,Number,22008,315
Bensonhurst,Asian,2009,Number,56749,311
Coney Island,Asian,2009,Number,11771,313
Astoria,Asian,2009,Number,24341,401
Jackson Heights,Asian,2009,Number,30113,403
Flushing,Asian,2009,Number,105459,407
Bayside,Asian,2009,Number,41350,411
Queens Village,Asian,2009,Number,28481,413
Fresh Meadows/Briarwood,Asian,2009,Number,46907,408
Elmhurst/Corona,Asian,2009,Number,44533,404
Rego Park/Forest Hills,Asian,2009,Number,27539,406
Sunnyside/Woodside,Asian,2009,Number,44717,402
Ridgewood/Glendale,Asian,2009,Number,11249,405
Woodhaven,Asian,2009,Number,33027,409
Jamaica/St. Albans,Asian,2009,Number,21260,412
Howard Beach,Asian,2009,Number,24658,410
The Rockaways,Asian,2009,Number,1499,414
Bronx,Asian,2009,Number,46506,36005
Brooklyn,Asian,2009,Number,230965,36047
Manhattan,Asian,2009,Number,164252,36061
Queens,Asian,2009,Number,485133,36081
Staten Island,Asian,2009,Number,35367,36085
New York City,Asian,2009,Number,962223,3651000
Riverdale,Asian,2009,Percent,0.05024,208
Williamsbridge,Asian,2009,Percent,0.02163,212
Throgs Neck,Asian,2009,Percent,0.02239,210
Pelham Parkway,Asian,2009,Percent,0.0737,211
Morrisania,Asian,2009,Percent,0.00918,203
East Tremont,Asian,2009,Percent,0.00918,206
Bedford Park,Asian,2009,Percent,0.05872,207
University Heights,Asian,2009,Percent,0.01851,205
Concourse/Highbridge,Asian,2009,Percent,0.0194,204
Unionport/Soundview,Asian,2009,Percent,0.05918,209
Mott Haven,Asian,2009,Percent,0.00681,201
Hunts Point,Asian,2009,Percent,0.00681,202
Washington Heights,Asian,2009,Percent,0.01969,112
Manhattanville,Asian,2009,Percent,0.05363,109
Central Harlem,Asian,2009,Percent,0.02175,110
East Harlem,Asian,2009,Percent,0.04423,111
Upper East Side,Asian,2009,Percent,0.07623,108
Upper West Side,Asian,2009,Percent,0.06796,107
Chelsea/Clinton,Asian,2009,Percent,0.1199,104
Midtown Business District,Asian,2009,Percent,0.1199,105
Murray Hill/Stuyvesant,Asian,2009,Percent,0.11922,106
Lower East Side,Asian,2009,Percent,0.34251,103
Battery Park/Tribeca,Asian,2009,Percent,0.14727,101
Greenwich Village,Asian,2009,Percent,0.14727,102
Tottenville,Asian,2009,Percent,0.04032,503
South Beach,Asian,2009,Percent,0.10867,502
St. George,Asian,2009,Percent,0.07635,501
Williamsburg/Greenpoint,Asian,2009,Percent,0.05171,301
Bushwick,Asian,2009,Percent,0.03314,304
Bedford Stuyvesant,Asian,2009,Percent,0.02124,303
Fort Greene/Brooklyn Hts,Asian,2009,Percent,0.0623,302
Park Slope,Asian,2009,Percent,0.05458,306
Crown Heights North,Asian,2009,Percent,0.0195,308
Brownsville,Asian,2009,Percent,0.00514,316
East New York,Asian,2009,Percent,0.04838,305
Canarsie,Asian,2009,Percent,0.02518,318
East Flatbush,Asian,2009,Percent,0.0128,317
Crown Heights South,Asian,2009,Percent,0.01162,309
Sunset Park,Asian,2009,Percent,0.25609,307
Bay Ridge,Asian,2009,Percent,0.17847,310
Borough Park,Asian,2009,Percent,0.12304,312
Flatbush/Midwood,Asian,2009,Percent,0.07297,314
Sheepshead Bay,Asian,2009,Percent,0.14769,315
Bensonhurst,Asian,2009,Percent,0.31895,311
Coney Island,Asian,2009,Percent,0.10792,313
Astoria,Asian,2009,Percent,0.13223,401
Jackson Heights,Asian,2009,Percent,0.16467,403
Flushing,Asian,2009,Percent,0.42106,407
Bayside,Asian,2009,Percent,0.34287,411
Queens Village,Asian,2009,Percent,0.13923,413
Fresh Meadows/Briarwood,Asian,2009,Percent,0.30694,408
Elmhurst/Corona,Asian,2009,Percent,0.31904,404
Rego Park/Forest Hills,Asian,2009,Percent,0.23695,406
Sunnyside/Woodside,Asian,2009,Percent,0.33014,402
Ridgewood/Glendale,Asian,2009,Percent,0.06348,405
Woodhaven,Asian,2009,Percent,0.22416,409
Jamaica/St. Albans,Asian,2009,Percent,0.09569,412
Howard Beach,Asian,2009,Percent,0.18858,410
The Rockaways,Asian,2009,Percent,0.01307,414
Bronx,Asian,2009,Percent,0.03366,36005
Brooklyn,Asian,2009,Percent,0.091,36047
Manhattan,Asian,2009,Percent,0.10133,36061
Queens,Asian,2009,Percent,0.21288,36081
Staten Island,Asian,2009,Percent,0.0732,36085
New York City,Asian,2009,Percent,0.11589,3651000
Riverdale,Asian,2010,Number,5742,208
Williamsbridge,Asian,2010,Number,3198,212
Throgs Neck,Asian,2010,Number,2667,210
Pelham Parkway,Asian,2010,Number,11113,211
Morrisania,Asian,2010,Number,685.92482,203
East Tremont,Asian,2010,Number,716.07518,206
Bedford Park,Asian,2010,Number,7004,207
University Heights,Asian,2010,Number,2034,205
Concourse/Highbridge,Asian,2010,Number,1956,204
Unionport/Soundview,Asian,2010,Number,11280,209
Mott Haven,Asian,2010,Number,705.27731,201
Hunts Point,Asian,2010,Number,402.72269,202
Washington Heights,Asian,2010,Number,4577,112
Manhattanville,Asian,2010,Number,7906,109
Central Harlem,Asian,2010,Number,3513,110
East Harlem,Asian,2010,Number,6795,111
Upper East Side,Asian,2010,Number,18712,108
Upper West Side,Asian,2010,Number,15328,107
Chelsea/Clinton,Asian,2010,Number,12322.64843,104
Midtown Business District,Asian,2010,Number,6167.35157,105
Murray Hill/Stuyvesant,Asian,2010,Number,19390,106
Lower East Side,Asian,2010,Number,58153,103
Battery Park/Tribeca,Asian,2010,Number,9160.79415,101
Greenwich Village,Asian,2010,Number,13523.20585,102
Tottenville,Asian,2010,Number,6439,503
South Beach,Asian,2010,Number,15100,502
St. George,Asian,2010,Number,13331,501
Williamsburg/Greenpoint,Asian,2010,Number,8593,301
Bushwick,Asian,2010,Number,4269,304
Bedford Stuyvesant,Asian,2010,Number,3524,303
Fort Greene/Brooklyn Hts,Asian,2010,Number,8333,302
Park Slope,Asian,2010,Number,7021,306
Crown Heights North,Asian,2010,Number,3333,308
Brownsville,Asian,2010,Number,540,316
East New York,Asian,2010,Number,7025,305
Canarsie,Asian,2010,Number,5860,318
East Flatbush,Asian,2010,Number,2016,317
Crown Heights South,Asian,2010,Number,1526,309
Sunset Park,Asian,2010,Number,42742,307
Bay Ridge,Asian,2010,Number,25848,310
Borough Park,Asian,2010,Number,22230,312
Flatbush/Midwood,Asian,2010,Number,12809,314
Sheepshead Bay,Asian,2010,Number,22073,315
Bensonhurst,Asian,2010,Number,59614,311
Coney Island,Asian,2010,Number,13287,313
Astoria,Asian,2010,Number,24936,401
Jackson Heights,Asian,2010,Number,31093,403
Flushing,Asian,2010,Number,113281,407
Bayside,Asian,2010,Number,43221,411
Queens Village,Asian,2010,Number,29386,413
Fresh Meadows/Briarwood,Asian,2010,Number,47135,408
Elmhurst/Corona,Asian,2010,Number,46401,404
Rego Park/Forest Hills,Asian,2010,Number,30203,406
Sunnyside/Woodside,Asian,2010,Number,46129,402
Ridgewood/Glendale,Asian,2010,Number,12139,405
Woodhaven,Asian,2010,Number,32973,409
Jamaica/St. Albans,Asian,2010,Number,22375,412
Howard Beach,Asian,2010,Number,24693,410
The Rockaways,Asian,2010,Number,1251,414
Bronx,Asian,2010,Number,47504,36005
Brooklyn,Asian,2010,Number,250643,36047
Manhattan,Asian,2010,Number,175548,36061
Queens,Asian,2010,Number,505216,36081
Staten Island,Asian,2010,Number,34870,36085
New York City,Asian,2010,Number,1013781,3651000
Riverdale,Asian,2010,Percent,0.05307,208
Williamsbridge,Asian,2010,Percent,0.02211,212
Throgs Neck,Asian,2010,Percent,0.02366,210
Pelham Parkway,Asian,2010,Percent,0.0894,211
Morrisania,Asian,2010,Percent,0.00932,203
East Tremont,Asian,2010,Percent,0.00932,206
Bedford Park,Asian,2010,Percent,0.05683,207
University Heights,Asian,2010,Percent,0.01506,205
Concourse/Highbridge,Asian,2010,Percent,0.01436,204
